=== Q4: Worst downtime per mile (bad assets) === ;
truck_id  total_downtime_hours  total_miles  downtime_per_mile   
--------  --------------------  -----------  --------------------
TRK00044  1080.4                1403922.0    0.000769558422761379
TRK00014  940.4                 1240298.0    0.000758204883020048
TRK00073  996.3                 1338563.0    0.000744305647175366
TRK00033  908.2                 1274427.0    0.000712633991589946
TRK00013  868.5                 1258508.0    0.000690102883732165
TRK00062  862.1                 1273747.0    0.000676822006253989
TRK00078  839.6                 1296265.0    0.000647707066070595
TRK00038  796.4                 1262396.0    0.000630863849378483
TRK00026  787.9                 1252565.0    0.000629029232015903
TRK00108  750.3                 1199508.0    0.000625506457647635
